compound,target,El1_E8,El1_I8,El1_S6,El1_S5,El1_E2,El1_E5,El1_E6,El1_E7,El1_C5,El1_I11,El1_G1,El1_M7,El1_M10,El1_M11,El1_M3,El1_M4,El1_M1,El1_M2,El1_M5,El1_M6,El1_M8,El1_M9,El1_I10,El1_A5,El1_S15,El1_S1,El1_C2,El1_C1,El1_G2,El1_E10,El2_E8,El2_I8,El2_S6,El2_S5,El2_E2,El2_E5,El2_E6,El2_E7,El2_C5,El2_I11,El2_G1,El2_M7,El2_M10,El2_M11,El2_M3,El2_M4,El2_M1,El2_M2,El2_M5,El2_M6,El2_M8,El2_M9,El2_I10,El2_A5,El2_S15,El2_S1,El2_C2,El2_C1,El2_G2,El2_E10,El3_I8,El3_S6,El3_S5,El3_E2,El3_E5,El3_E6,El3_E7,El3_C5,El3_I11,El3_M7,El3_M10,El3_M11,El3_M3,El3_M4,El3_M1,El3_M2,El3_M5,El3_M6,El3_M8,El3_M9,El3_I10,El3_A5,El3_S15,El3_S1,El3_C2,El3_C1
Na3TmBr6,781,2.7,141.0,1.07,3.73,0.9,495.8,4562,6912,107.3,51.3,1,7,5,101,5,102,2,99,11,11,3,99,28.24,3,1.18,2.65,1429.0,371,1,0.82,3.22,16.8,1.01,2.03,1.1,596.3,1163,2305,232.2,73.26,3,49,41,64,40,65,39,64,21,22,40,63,27.03,6,0.88,3.6,2223,1822,3,1.23,0.005,1.01,1.6,2.96,1139.9,2103,3473,111.9,151.7715,100,95,9,94,9,95,10,98,98,95,9,75.689,4,1.96,1.2,331.7,266
Ag3FeF6,1013,4.35,429.0,1.3,2.9,1.93,731.0,2074,3361,284.6,42.56,11,15,68,36,67,37,67,37,71,71,68,36,25.4,5,1.28,2.375,2483.0,1234,11,1.36,4.93,80.2,0.73,1.16,1.8,759.3,1561,2957,416.3,27.17233,8,66,60,46,59,47,57,45,61,63,58,44,25.1,4,0.645,2.11,3273,1808,8,1.77,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3FeF6,1253,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,4.93,80.2,0.73,1.16,1.8,759.3,1561,2957,416.3,27.17233,8,66,60,46,59,47,57,45,61,63,58,44,25.1,4,0.645,2.11,3273,1808,8,1.77,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3FeF6,1203,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,4.93,80.2,0.73,1.16,1.8,759.3,1561,2957,416.3,27.17233,8,66,60,46,59,47,57,45,61,63,58,44,25.1,4,0.645,2.11,3273,1808,8,1.77,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3YF6,1319,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.2,17.2,1.22,2.42,1.2,615.6,1181,1980,421.3,44.4,3,24,16,89,15,90,14,89,25,48,15,88,26.53,5,0.9,2.94,3203,1796,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3YF6,1337,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.2,17.2,1.22,2.42,1.2,615.6,1181,1980,421.3,44.4,3,24,16,89,15,90,14,89,25,48,15,88,26.53,5,0.9,2.94,3203,1796,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3YF6,1328,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.2,17.2,1.22,2.42,1.2,615.6,1181,1980,421.3,44.4,3,24,16,89,15,90,14,89,25,48,15,88,26.53,5,0.9,2.94,3203,1796,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3TmF6,1303,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.22,16.8,1.01,2.03,1.1,596.3,1163,2305,232.2,73.26,3,49,41,64,40,65,39,64,21,22,40,63,27.03,6,0.88,3.6,2223,1822,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3YbF6,1358,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.22,34.9,1.0,1.99,1.05,603.4,1174,2408,152.3,59.94,3,51,43,62,42,63,41,62,17,21,42,61,36.41,6,0.868,3.59,1703,1091,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3YbF6,1308,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.22,34.9,1.0,1.99,1.05,603.4,1174,2408,152.3,59.94,3,51,43,62,42,63,41,62,17,21,42,61,36.41,6,0.868,3.59,1703,1091,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3LuF6,1318,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.22,16.4,0.99,1.94,1.15,523.5,1341,2054,427.6,50.98,3,53,45,60,44,61,43,60,20,20,44,59,26.86,6,0.861,3.37,3603,1950,3,1.24,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3LuF6,1313,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.22,16.4,0.99,1.94,1.15,523.5,1341,2054,427.6,50.98,3,53,45,60,44,61,43,60,20,20,44,59,26.86,6,0.861,3.37,3603,1950,3,1.24,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Rb3UF6,1235,2.1,52.8,1.43,4.9,0.8,403.0,2632,3859,80.9,76.78,1,5,3,99,3,100,4,101,9,9,5,101,31.062,5,1.61,4.1,961.2,312,1,0.6,3.9,27.6,1.01,1.74,1.4,522.4,1122,1745,535.6,50.2,3,30,22,81,21,82,22,83,45,44,23,82,47.12,7,1.025,4.72,4404,1407,3,1.51,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3YF6,1347,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,17.2,1.22,2.42,1.2,615.6,1181,1980,421.3,44.4,3,24,16,89,15,90,14,89,25,48,15,88,26.53,5,0.9,2.94,3203,1796,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3PrF6,1193,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3PrF6,1137,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3PrF6,1173,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3NdF6,1213,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.19,16.5,1.17,2.37,1.05,529.7,1034,2128,327.3,72.4,3,31,23,82,22,83,21,82,30,31,22,81,44.576,6,0.983,3.99,3303,1298,3,1.2,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3SmF6,1221,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,13.3,1.11,2.33,1.05,543.2,1068,2285,208.0,69.6,3,35,27,78,26,79,25,78,28,29,26,77,45.86,6,0.958,4.14,2173,1346,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3SmF6,1245,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,13.3,1.11,2.33,1.05,543.2,1068,2285,208.0,69.6,3,35,27,78,26,79,25,78,28,29,26,77,45.86,6,0.958,4.14,2173,1346,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3EuF6,1239,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,13.9,1.1,2.29,1.0,547.1,1086,2425,177.8,77.81,3,37,29,76,28,77,27,76,18,28,28,75,27.65,6,0.947,3.94,1713,1095,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3EuF6,1268,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,13.9,1.1,2.29,1.0,547.1,1086,2425,177.8,77.81,3,37,29,76,28,77,27,76,18,28,28,75,27.65,6,0.947,3.94,1713,1095,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3GdF6,1270,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.2,10.6,1.09,2.22,1.1,592.4,1186,1999,387.6,68.06,3,39,31,74,30,75,29,74,27,27,30,73,28.171,6,0.938,3.91,3273,1591,3,1.21,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3TbF6,1288,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.21,11.1,1.08,2.2,1.1,564.4,1112,2122,386.5,72.24,3,41,33,72,32,73,31,72,26,26,32,71,27.718,6,0.923,3.89,3073,1627,3,1.22,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3DyF6,1308,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.21,10.7,1.07,2.18,1.1,572.2,1126,2230,288.0,77.81,3,43,35,70,34,71,33,70,24,25,34,69,27.7,6,0.912,3.67,2873,1683,3,1.22,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3HoF6,1328,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,16.2,1.04,2.19,1.1,580.8,1139,2221,300.2,75.19,3,45,37,68,36,69,35,68,23,24,36,67,27.15,6,0.901,3.65,2873,1683,3,1.22,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3ErF6,1321,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,14.3,1.02,2.15,1.1,588.6,1151,2207,311.0,74.52,3,47,39,66,38,67,37,66,22,23,38,65,26.58,6,0.89,3.63,3173,1795,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3ErF6,1328,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,14.3,1.02,2.15,1.1,588.6,1151,2207,311.0,74.52,3,47,39,66,38,67,37,66,22,23,38,65,26.58,6,0.89,3.63,3173,1795,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3TmF6,1343,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,16.8,1.01,2.03,1.1,596.3,1163,2305,232.2,73.26,3,49,41,64,40,65,39,64,21,22,40,63,27.03,6,0.88,3.6,2223,1822,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3YbF6,1323,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,34.9,1.0,1.99,1.05,603.4,1174,2408,152.3,59.94,3,51,43,62,42,63,41,62,17,21,42,61,36.41,6,0.868,3.59,1703,1091,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3YbF6,1358,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,34.9,1.0,1.99,1.05,603.4,1174,2408,152.3,59.94,3,51,43,62,42,63,41,62,17,21,42,61,36.41,6,0.868,3.59,1703,1091,3,1.23,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3LuF6,1368,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,16.4,0.99,1.94,1.15,523.5,1341,2054,427.6,50.98,3,53,45,60,44,61,43,60,20,20,44,59,26.86,6,0.861,3.37,3603,1950,3,1.24,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3LuF6,1333,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.22,16.4,0.99,1.94,1.15,523.5,1341,2054,427.6,50.98,3,53,45,60,44,61,43,60,20,20,44,59,26.86,6,0.861,3.37,3603,1950,3,1.24,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3UF6,1245,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.9,27.6,1.01,1.74,1.4,522.4,1122,1745,535.6,50.2,3,30,22,81,21,82,22,83,45,44,23,82,47.12,7,1.025,4.72,4404,1407,3,1.51,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3CrF6,1543,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,4.65,93.7,0.84,1.33,1.6,652.8,1592,2987,396.6,23.86476,6,60,54,52,53,53,51,51,57,57,52,50,23.35,4,0.615,2.44,2755,2180,6,1.73,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3CrF6,1548,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,4.65,93.7,0.84,1.33,1.6,652.8,1592,2987,396.6,23.86476,6,60,54,52,53,53,51,51,57,57,52,50,23.35,4,0.615,2.44,2755,2180,6,1.73,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3CoF6,883,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,5.1,100.0,0.71,1.14,1.9,758.4,1646,3232,424.7,30.06122,9,69,63,43,62,44,60,42,64,66,61,41,24.81,4,0.61,2.02,3173,1768,9,1.75,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3UF6,1205,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.9,27.6,1.01,1.74,1.4,522.4,1122,1745,535.6,50.2,3,30,22,81,21,82,22,83,45,44,23,82,47.12,7,1.025,4.72,4404,1407,3,1.51,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Tl3FeF6,883,3.9,46.1,1.53,2.29,1.8,589.3,1971,2877,182.2,64.26738,3,21,73,27,72,28,76,32,78,76,77,31,26.32,6,1.59,2.235,1733.0,577,3,1.12,4.93,80.2,0.73,1.16,1.8,759.3,1561,2957,416.3,27.17233,8,66,60,46,59,47,57,45,61,63,58,44,25.1,4,0.645,2.11,3273,1808,8,1.77,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3MoF6,1007,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,4.65,138.0,0.9,1.46,1.8,684.9,1558,2621,658.1,28.59584,6,62,53,51,52,52,52,52,56,56,53,51,24.06,5,0.69,2.72,5833,2890,6,1.77,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3CeF6,1151,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.18,11.4,1.23,2.4,1.05,527.8,1047,1940,431.9,69.7,3,27,19,86,18,87,17,86,32,33,18,85,37.85,6,1.01,4.5,3699,1071,3,1.19,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3CeF6,1211,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.18,11.4,1.23,2.4,1.05,527.8,1047,1940,431.9,69.7,3,27,19,86,18,87,17,86,32,33,18,85,37.85,6,1.01,4.5,3699,1071,3,1.19,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
Cs3CeF6,1183,1.95,35.9,1.55,5.45,0.7,375.7,2229,3377,76.1,85.2,1,4,2,98,2,99,5,102,8,8,6,102,32.21,6,1.74,4.31,963.2,302,1,0.55,3.18,11.4,1.23,2.4,1.05,527.8,1047,1940,431.9,69.7,3,27,19,86,18,87,17,86,32,33,18,85,37.85,6,1.01,4.5,3699,1071,3,1.19,0.026,0.83,1.16,4.0,1681.0,3374,6050,79.0,202.85046,104,97,11,96,11,93,8,102,100,93,7,31.3,2,1.33,0.405,85.15,54
K3LaCl6,898,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.17,13.5,1.34,2.42,1.0,538.1,1067,1851,431.0,56.8,3,23,15,88,14,89,15,90,33,34,16,89,39.54,6,1.032,3.08,3743,1192,3,1.18,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3CeCl6,901,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.18,11.4,1.23,2.4,1.05,527.8,1047,1940,431.9,69.7,3,27,19,86,18,87,17,86,32,33,18,85,37.85,6,1.01,4.5,3699,1071,3,1.19,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3CeCl6,913,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.18,11.4,1.23,2.4,1.05,527.8,1047,1940,431.9,69.7,3,27,19,86,18,87,17,86,32,33,18,85,37.85,6,1.01,4.5,3699,1071,3,1.19,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3PrCl6,931,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3PrCl6,963,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3PrCl6,943,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.19,12.5,1.2,2.39,1.05,523.0,1018,2090,355.8,73.74,3,29,21,84,20,85,19,84,31,32,20,83,38.45,6,0.99,4.48,3403,1208,3,1.2,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
K3NdCl6,955,2.25,102.0,1.32,4.6,0.8,418.8,3051,4411,89.2,64.43485,1,6,4,100,4,101,3,100,10,10,4,100,29.6,4,1.51,3.69,1033.0,337,1,0.65,3.19,16.5,1.17,2.37,1.05,529.7,1034,2128,327.3,72.4,3,31,23,82,22,83,21,82,30,31,22,81,44.576,6,0.983,3.99,3303,1298,3,1.2,0.009,1.0,1.41,3.0,1251.1,2297,3822,121.7,223.11457,102,96,10,95,10,94,9,99,99,94,8,33.949,3,1.81,1.01,238.5,172
